t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0096,OK,178.87,S,55,-1378,-489
0.0746,OK,178.87,S,55,-1378,-489
0.1392,OK,177.48,S,16,-1008,-81
0.2042,OK,176.44,S,14,-1004,-79
0.2692,OK,175.72,S,14,-1004,-79
0.3344,OK,175.35,S,18,-1012,-85
0.3994,OK,175.50,S,27,-1007,-79
0.4645,OK,175.61,S,27,-1007,-79
0.5302,OK,174.87,S,8,-1005,-73
0.5955,OK,174.35,S,8,-1005,-73
0.6608,OK,174.70,S,24,-998,-69
0.7256,OK,174.80,S,22,-1015,-77
0.7903,OK,174.87,S,22,-1015,-77
0.8551,OK,173.89,S,0,-1024,-84
0.9198,OK,172.12,S,-24,-1027,-80
0.9847,OK,170.88,S,-24,-1027,-80
1.0496,OK,169.66,S,-30,-1036,-82
1.1144,OK,168.80,S,-30,-1036,-82
1.1791,OK,167.78,SSE,-39,-1038,-81
1.2441,OK,167.32,SSE,-36,-1026,-71
1.3091,OK,167.01,SSE,-36,-1026,-71
1.3739,OK,165.79,SSE,-55,-1040,-83
1.4387,OK,163.40,SSE,-81,-1066,-90
1.5035,OK,161.73,SSE,-81,-1066,-90
1.5692,OK,157.18,SSE,-141,-1104,-97
1.6343,OK,153.98,SSE,-141,-1104,-97
1.6995,OK,149.44,SSE,-182,-1130,-99
1.7671,OK,145.49,SE,-191,-1144,-91
1.8324,OK,142.72,SE,-191,-1144,-91
1.8973,OK,141.03,SE,-180,-1148,-91
1.9621,OK,139.40,SE,-183,-1158,-80
2.0270,OK,138.26,SE,-183,-1158,-80
2.0922,OK,137.43,SE,-174,-1168,-80
2.1572,OK,136.85,SE,-174,-1168,-80
2.2220,OK,137.32,SE,-150,-1170,-75
2.2868,OK,136.84,SE,-155,-1186,-73
2.3516,OK,136.50,SE,-155,-1186,-73
2.4164,OK,135.64,SE,-153,-1203,-66
2.4822,OK,132.47,SE,-180,-1237,-61
2.5502,OK,130.24,SE,-180,-1237,-61
2.6159,OK,127.04,SE,-185,-1266,-58
2.6811,OK,123.15,ESE,-188,-1294,-63
2.7471,OK,120.42,ESE,-188,-1294,-63
2.8119,OK,117.70,ESE,-192,-1306,-66
2.8779,OK,115.79,ESE,-192,-1306,-66
2.9443,OK,114.54,ESE,-186,-1307,-47
3.0092,OK,112.56,ESE,-182,-1326,-52
3.0745,OK,111.17,ESE,-182,-1326,-52
3.1392,OK,111.65,ESE,-149,-1317,-38
3.2048,OK,111.47,ESE,-126,-1333,-30
3.2718,OK,111.35,ESE,-126,-1333,-30
