t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0032,OK,227.89,SW,315,-1167,-82
0.0695,OK,227.89,SW,315,-1167,-82
0.1356,OK,227.89,SW,315,-1167,-66
0.2006,OK,228.25,SW,316,-1176,-66
0.2652,OK,228.51,SW,316,-1176,-66
0.3299,OK,228.59,SW,313,-1176,-54
0.3945,OK,228.64,SW,313,-1176,-54
0.4592,OK,228.80,SW,313,-1179,-66
0.5239,OK,228.70,SW,317,-1170,-64
0.5907,OK,228.63,SW,317,-1170,-64
0.6568,OK,228.68,SW,311,-1178,-70
0.7216,OK,228.97,SW,321,-1176,-57
0.7885,OK,229.17,SW,321,-1176,-57
0.8542,OK,228.89,SW,317,-1168,-58
0.9199,OK,228.69,SW,317,-1168,-58
0.9846,OK,228.46,SW,312,-1170,-62
1.0493,OK,228.34,SW,311,-1172,-70
1.1163,OK,228.25,SW,311,-1172,-70
1.1819,OK,228.24,SW,318,-1167,-62
1.2469,OK,228.16,SW,309,-1173,-64
1.3133,OK,228.10,SW,309,-1173,-64
1.3780,OK,228.65,SW,324,-1176,-59
1.4425,OK,229.04,SW,318,-1181,-66
1.5090,OK,229.31,SW,318,-1181,-66
1.5737,OK,229.27,SW,320,-1173,-49
1.6406,OK,229.24,SW,320,-1173,-49
1.7062,OK,229.42,SW,317,-1181,-62
1.7708,OK,229.44,SW,323,-1173,-57
1.8380,OK,229.45,SW,323,-1173,-57
1.9037,OK,229.64,SW,318,-1182,-62
1.9683,OK,229.58,SW,318,-1177,-60
2.0334,OK,229.54,SW,318,-1177,-60
2.0988,OK,229.76,SW,327,-1176,-71
2.1634,OK,229.91,SW,327,-1176,-71
2.2282,OK,230.00,SW,331,-1172,-63
2.2926,OK,230.04,SW,333,-1170,-45
2.3570,OK,230.08,SW,333,-1170,-45
2.4221,OK,229.99,SW,326,-1173,-47
2.4869,OK,229.86,SW,327,-1170,-57
2.5547,OK,229.76,SW,327,-1170,-57
2.6197,OK,229.78,SW,324,-1175,-57
2.6842,OK,229.70,SW,322,-1174,-57
2.7488,OK,229.64,SW,322,-1174,-57
2.8136,OK,229.75,SW,328,-1173,-61
2.8791,OK,229.83,SW,328,-1173,-61
2.9471,OK,229.67,SW,327,-1168,-53
