t_rel_s,status,heading_deg,x_raw,y_raw,z_raw,x_cal,y_cal
0.014994,st=0x80,353.826,0,0,0,-153.003,-1414.488
0.050960,st=0x80,333.372,41,-1434,-506,-110.902,-17.054
0.087652,st=0x80,317.729,41,-1434,-506,-110.902,-17.054
0.125458,st=0x80,337.529,261,-1245,-353,115.009,-201.234
0.161733,st=0x80,352.547,261,-1245,-353,115.009,-201.234
0.197568,st=0x80,3.481,261,-1245,-353,115.009,-201.234
0.233336,st=0x80,10.984,259,-1240,-349,112.956,-206.107
0.268891,st=0x80,16.282,259,-1240,-349,112.956,-206.107
0.304493,st=0x80,20.007,259,-1240,-349,112.956,-206.107
0.340037,st=0x80,22.702,265,-1231,-348,119.117,-214.877
0.375569,st=0x80,24.591,265,-1231,-348,119.117,-214.877
0.411100,st=0x80,25.914,265,-1231,-348,119.117,-214.877
0.447381,st=0x80,27.204,267,-1238,-345,121.171,-208.056
0.484103,st=0x80,28.108,267,-1238,-345,121.171,-208.056
0.519804,st=0x80,28.740,267,-1238,-345,121.171,-208.056
0.555371,st=0x80,29.443,270,-1240,-337,124.251,-206.107
0.590942,st=0x80,29.935,270,-1240,-337,124.251,-206.107
0.627637,st=0x80,30.280,270,-1240,-337,124.251,-206.107
0.663410,st=0x80,30.403,267,-1242,-339,121.171,-204.158
0.699102,st=0x80,30.489,267,-1242,-339,121.171,-204.158
0.734686,st=0x80,30.694,271,-1239,-329,125.278,-207.081
0.770189,st=0x80,30.838,271,-1239,-329,125.278,-207.081
0.805771,st=0x80,30.938,271,-1239,-329,125.278,-207.081
0.841331,st=0x80,31.010,267,-1246,-349,121.171,-200.260
0.876854,st=0x80,31.060,267,-1246,-349,121.171,-200.260
0.912386,st=0x80,31.095,267,-1246,-349,121.171,-200.260
0.947992,st=0x80,30.961,264,-1247,-349,118.090,-199.285
0.983543,st=0x80,30.868,264,-1247,-349,118.090,-199.285
1.019279,st=0x80,30.802,264,-1247,-349,118.090,-199.285
1.054887,st=0x80,30.744,261,-1252,-343,115.009,-194.413
1.090593,st=0x80,30.703,261,-1252,-343,115.009,-194.413
1.126947,st=0x80,30.674,261,-1252,-343,115.009,-194.413
1.162487,st=0x80,30.505,261,-1248,-353,115.009,-198.311
1.198125,st=0x80,30.387,261,-1248,-353,115.009,-198.311
1.233830,st=0x80,30.304,261,-1248,-353,115.009,-198.311
1.272527,st=0x80,29.974,258,-1246,-347,111.929,-200.260
1.308287,st=0x80,29.742,258,-1246,-347,111.929,-200.260
1.343789,st=0x80,29.580,258,-1246,-347,111.929,-200.260
1.381791,st=0x80,29.195,254,-1246,-346,107.821,-200.260
1.417314,st=0x80,28.926,254,-1246,-346,107.821,-200.260
1.453666,st=0x80,29.009,258,-1246,-341,111.929,-200.260
1.489557,st=0x80,29.067,258,-1246,-341,111.929,-200.260
1.525155,st=0x80,29.107,258,-1246,-341,111.929,-200.260
1.560647,st=0x80,29.701,262,-1254,-349,116.036,-192.464
1.596198,st=0x80,30.116,262,-1254,-349,116.036,-192.464
1.631802,st=0x80,30.407,262,-1254,-349,116.036,-192.464
1.667346,st=0x80,29.802,258,-1239,-337,111.929,-207.081
1.703092,st=0x80,29.379,258,-1239,-337,111.929,-207.081
1.738646,st=0x80,29.083,258,-1239,-337,111.929,-207.081
1.774262,st=0x80,29.247,261,-1244,-345,115.009,-202.209
1.809827,st=0x80,29.362,261,-1244,-345,115.009,-202.209
1.845409,st=0x80,29.442,261,-1244,-345,115.009,-202.209
1.880935,st=0x80,29.385,263,-1237,-342,117.063,-209.030
1.916477,st=0x80,29.344,263,-1237,-342,117.063,-209.030
1.951998,st=0x80,29.316,263,-1237,-342,117.063,-209.030
1.987525,st=0x80,29.555,261,-1248,-337,115.009,-198.311
2.023115,st=0x80,29.722,261,-1248,-337,115.009,-198.311
2.058714,st=0x80,29.839,261,-1248,-337,115.009,-198.311
2.094261,st=0x80,30.043,269,-1237,-348,123.224,-209.030
2.129821,st=0x80,30.186,269,-1237,-348,123.224,-209.030
2.165348,st=0x80,30.286,269,-1237,-348,123.224,-209.030
2.201021,st=0x80,30.059,260,-1245,-353,113.982,-201.234
2.236716,st=0x80,29.899,260,-1245,-353,113.982,-201.234
2.272299,st=0x80,29.788,260,-1245,-353,113.982,-201.234
2.309032,st=0x80,29.710,260,-1245,-353,113.982,-201.234
2.344644,st=0x80,29.655,260,-1245,-353,113.982,-201.234
2.380273,st=0x80,29.982,265,-1246,-343,119.117,-200.260
2.416659,st=0x80,30.211,265,-1246,-343,119.117,-200.260
2.452368,st=0x80,30.371,265,-1246,-343,119.117,-200.260
2.488299,st=0x80,30.442,261,-1252,-349,115.009,-194.413
2.524031,st=0x80,30.492,261,-1252,-349,115.009,-194.413
2.559730,st=0x80,30.526,261,-1252,-349,115.009,-194.413
2.595329,st=0x80,30.288,262,-1243,-343,116.036,-203.183
2.631735,st=0x80,30.120,262,-1243,-343,116.036,-203.183
2.667277,st=0x80,30.003,262,-1243,-343,116.036,-203.183
2.703002,st=0x80,30.052,264,-1243,-345,118.090,-203.183
2.742033,st=0x80,30.086,264,-1243,-345,118.090,-203.183
2.777704,st=0x80,30.110,264,-1243,-345,118.090,-203.183
2.813929,st=0x80,29.904,259,-1246,-347,112.956,-200.260
2.849602,st=0x80,29.760,259,-1246,-347,112.956,-200.260
2.885307,st=0x80,29.660,259,-1246,-347,112.956,-200.260
2.921014,st=0x80,29.884,264,-1245,-337,118.090,-201.234
2.956595,st=0x80,30.040,264,-1245,-337,118.090,-201.234
